Ref,Val,Package,PosX,PosY,Rot,Side
"C204","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",171.000000,-86.600000,90.000000,top
"C205","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",153.900000,-122.700000,0.000000,top
"C206","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",159.900000,-117.200000,90.000000,top
"C207","CC0402_1UF_16V_10%_X5R","CAPC1005X55N",157.000000,-126.100000,-90.000000,top
"C208","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",163.500000,-121.900000,0.000000,top
"C209","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",158.100000,-117.200000,90.000000,top
"C210","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",161.400000,-126.000000,-90.000000,top
"C211","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",155.400000,-120.800000,90.000000,top
"C212","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",163.500000,-123.200000,0.000000,top
"C213","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",153.900000,-121.700000,0.000000,top
"C214","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",170.000000,-86.600000,90.000000,top
"C215","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",168.800000,-84.700000,-90.000000,top
"C216","CC0402_1UF_16V_10%_X5R","CAPC1005X55N",166.900000,-84.900000,0.000000,top
"C217","CC0402_1UF_16V_10%_X5R","CAPC1005X55N",166.600000,-79.600000,0.000000,top
"C218","CC0402_4.7UF_16V_20%_X5R","CAPC1005X55N",173.800000,-103.425000,0.000000,top
"C219","CC0402_4.7UF_16V_20%_X5R","CAPC1005X55N",171.800000,-103.425000,180.000000,top
"C220","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",188.850000,-57.362000,0.000000,top
"C221","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",166.012500,-57.362000,0.000000,top
"C222","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",177.912500,-57.350000,0.000000,top
"C223","CC0402_10UF_6.3V_20%_X5R","CAPC1005X70N",199.200000,-138.300000,180.000000,top
"C224","CC0402_10UF_6.3V_20%_X5R","CAPC1005X70N",199.200000,-133.200000,180.000000,top
"C225","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",189.900000,-135.950000,90.000000,top
"C226","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",199.200000,-135.300000,180.000000,top
"C227","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",185.625000,-74.265000,-90.000000,top
"C228","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",125.900000,-128.600000,-90.000000,top
"C247","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",140.900000,-99.200000,90.000000,top
"C248","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",172.275000,-75.675000,-90.000000,top
"D1","PRTR5V0U2X","SOT190P230X110-4N",114.200000,-116.700000,90.000000,top
"D2","MM3Z12VB","SODFL2513X100N",124.500000,-127.900000,90.000000,top
"D3","BAS316","D_SOD-323",137.550000,-126.200000,0.000000,top
"J1","TYCO_1888247-1","TYCO_1367073-1",145.400000,-83.325000,0.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",106.600000,-116.600000,-90.000000,top
"J3","BELFUSE_0826-1G1T-43-F","BEL_0826-1G1T-43-F",130.400000,-101.200000,90.000000,top
"J4","Conn_02x06_Top_Bottom","PinSocket_2x06_P2.54mm_Horizontal_PMOD",212.875000,-138.325000,180.000000,top
"J5","Conn_02x06_Top_Bottom","PinSocket_2x06_P2.54mm_Horizontal_PMOD",212.875000,-115.465000,180.000000,top
"J6","Conn_02x06_Top_Bottom","PinSocket_2x06_P2.54mm_Horizontal_PMOD",212.875000,-92.605000,180.000000,top
"J7","Conn_02x06_Top_Bottom","PinSocket_2x06_P2.54mm_Horizontal_PMOD",212.875000,-69.745000,180.000000,top
"J8","2180739-1","TE_2180739-1",145.400000,-76.200000,-90.000000,top
"J10","Barrel_Jack_Switch","BarrelJack_GCT_DCJ200-10-A_Horizontal",116.750000,-128.000000,-90.000000,top
"J12","TYCO_1888247-1","TYCO_1888247-1",145.400000,-69.070000,0.000000,top
"J14","Conn_02x06_Top_Bottom","PinSocket_2x06_P2.54mm_Vertical_PMOD",120.175000,-134.710000,90.000000,top
"J15","Conn_02x06_Top_Bottom","PinSocket_2x06_P2.54mm_Vertical_PMOD",143.035000,-134.710000,90.000000,top
"L1","IND_2.2UH_20%_BOURNS_SRP3212","IND_BOURNS_SRP3212",150.100000,-102.700000,90.000000,top
"L2","4.7 uH","L_1008_2520Metric",144.300000,-57.900000,-90.000000,top
"L3","4.7 uH","L_1008_2520Metric",147.100000,-57.900000,-90.000000,top
"L4","4.7 uH","L_1008_2520Metric",146.200000,-94.300000,90.000000,top
"L5","4.7 uH","L_1008_2520Metric",143.300000,-94.300000,90.000000,top
"L10","IND0402_MURATA_BLM15PX121SN1D","INDC1005X55N",119.600000,-115.100000,-90.000000,top
"L12","IND0402_MURATA_BLM15PX121SN1D","INDC1005X55N",112.600000,-111.900000,0.000000,top
"L13","IND0402_MURATA_BLM15PX121SN1D","INDC1005X55N",119.700000,-118.700000,90.000000,top
"L14","IND_2.2UH_20%_WURTH_WE-PMCI_74479276222C","IND_WURTH_WE-PMCI_0806LR",119.500000,-111.000000,0.000000,top
"L17","IND0603_MURATA_BLM18SG121TN1D","INDC1608X65N",160.000000,-128.900000,0.000000,top
"L18","IND0603_MURATA_BLM18SG121TN1D","INDC1608X65N",163.200000,-128.900000,0.000000,top
"L20","IND0603_MURATA_BLM18SG121TN1D","INDC1608X65N",163.600000,-126.100000,0.000000,top
"LD1","LED_OSRAM_LS_Q976-NR-1","LED_OSRAM_LS Q976",111.250000,-136.025000,-90.000000,top
"LD2","LED_KINGBRIGHT_KPH-1608CGCK","LED_KINGBRIGHT_KPH-1608CGCK",145.100000,-122.500000,90.000000,top
"LD3","LED_KINGBRIGHT_KPH-1608CGCK","LED_KINGBRIGHT_KPH-1608CGCK",197.600000,-57.300000,90.000000,top
"LD4","LED_KINGBRIGHT_KPH-1608CGCK","LED_KINGBRIGHT_KPH-1608CGCK",202.250000,-57.185000,90.000000,top
"LD5","LED_KINGBRIGHT_KPH-1608CGCK","LED_KINGBRIGHT_KPH-1608CGCK",192.500000,-57.250000,90.000000,top
"Q1","BSS138LT1G","SOT95P240X110-3N",198.750000,-61.250000,90.000000,top
"Q2","BSS138LT1G","SOT95P240X110-3N",202.400000,-61.250000,90.000000,top
"Q3","BSS138LT1G","SOT95P240X110-3N",195.250000,-61.250000,90.000000,top
"Q4","DMP3013SFV","Diodes_PowerDI3333-8",121.200000,-128.025000,180.000000,top
"R3","R0402_2K49_1%_0.063W_100PPM","RESC1005X40N",143.000000,-102.100000,90.000000,top
"R4","R0402_22R_1%_0.0625W_100PPM","RESC1005X40N",152.800000,-108.000000,180.000000,top
"R5","R0402_22R_1%_0.0625W_100PPM","RESC1005X40N",152.800000,-109.000000,180.000000,top
"R6","R0402_22R_1%_0.0625W_100PPM","RESC1005X40N",152.800000,-110.000000,180.000000,top
"R7","R0402_22R_1%_0.0625W_100PPM","RESC1005X40N",152.800000,-111.000000,180.000000,top
"R8","R0402_22R_1%_0.0625W_100PPM","RESC1005X40N",152.800000,-106.000000,180.000000,top
"R9","R0402_22R_1%_0.0625W_100PPM","RESC1005X40N",152.800000,-107.000000,180.000000,top
"R12","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",146.300000,-102.100000,90.000000,top
"R14","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",136.900000,-108.000000,0.000000,top
"R18","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",137.400000,-97.500000,0.000000,top
"R19","R0402_330R_1%_0.0625W_100PPM","RESC1005X40N",137.400000,-96.400000,180.000000,top
"R20","R0402_330R_1%_0.0625W_100PPM","RESC1005X40N",136.900000,-107.000000,180.000000,top
"R21","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",174.262500,-58.400000,180.000000,top
"R22","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",174.262500,-59.400000,0.000000,top
"R23","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",184.900000,-60.375000,180.000000,top
"R24","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",184.900000,-61.400000,180.000000,top
"R25","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",174.262500,-60.400000,180.000000,top
"R26","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",174.262500,-61.400000,180.000000,top
"R27","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",174.262500,-62.400000,180.000000,top
"R28","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",178.162500,-64.400000,-90.000000,top
"R29","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",179.162500,-64.400000,90.000000,top
"R30","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",184.900000,-62.400000,180.000000,top
"R31","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",187.750000,-64.275000,-90.000000,top
"R32","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",181.962500,-62.900000,0.000000,top
"R33","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",181.962500,-61.900000,0.000000,top
"R34","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",181.962500,-60.900000,0.000000,top
"R35","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",162.462500,-58.600000,180.000000,top
"R36","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",162.462500,-59.600000,0.000000,top
"R37","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",166.462500,-64.400000,-90.000000,top
"R38","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",167.562500,-64.400000,90.000000,top
"R39","R0402_4K7_1%_0.0625W_100PPM","RESC1005X40N",189.150000,-64.275000,-90.000000,top
