Designator,Val,Package, Mid X, Mid Y,Rotation,Layer
R153,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,196.500000,-127.100000,-90.000000,bottom
R164,R0402_100K_1%_0.0625W_100PPM,RESC1005X40N,176.200000,-62.200000,-90.000000,bottom
R165,R0402_100K_1%_0.0625W_100PPM,RESC1005X40N,177.200000,-62.200000,-90.000000,bottom
R166,R0402_100K_1%_0.0625W_100PPM,RESC1005X40N,178.200000,-62.200000,-90.000000,bottom
R168,R0402_80R6_1%_0.1W_100PPM,RESC1005X40N,195.150000,-118.600000,90.000000,bottom
R169,R0402_12K_1%_0.0625W_100PPM,RESC1005X40N,181.300000,-129.900000,0.000000,bottom
R170,R0402_100K_1%_0.0625W_100PPM,RESC1005X40N,164.400000,-62.000000,-90.000000,bottom
R171,R0402_100K_1%_0.0625W_100PPM,RESC1005X40N,165.400000,-62.000000,-90.000000,bottom
R172,R0402_100K_1%_0.0625W_100PPM,RESC1005X40N,166.400000,-62.000000,-90.000000,bottom
U9,REF3012,SOT-23,190.600000,-105.700000,0.000000,bottom
U22,93C46B-I_SN,SOIC127P600X175-8N,117.100000,-112.730000,180.000000,bottom
Y1,OSC_25MHZ_RAKON_IVT3205CR,OSC_ABRACON_ASEMPC,164.950000,-115.150000,180.000000,bottom
Y5,XTAL_12MHZ_TXC_7A-12.000MAAJ-T,XTAL_TXC_7A,123.900000,-114.300000,90.000000,bottom
A1,Arduino_UNO_R3,Arduino_UNO_R3,158.870000,-103.175000,90.000000,top
B1,PLATED_HOLE3.2_PAD5.5,MTG320_550,114.000000,-58.000000,0.000000,top
B2,PLATED_HOLE3.2_PAD5.5,MTG320_550,107.000000,-136.000000,0.000000,top
B3,PLATED_HOLE3.2_PAD5.5,MTG320_550,207.000000,-58.000000,0.000000,top
B4,PLATED_HOLE3.2_PAD5.5,MTG320_550,207.000000,-136.000000,0.000000,top
C1,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,179.650000,-112.900000,90.000000,top
C2,CC0805_10UF_25V_10%_X5R,CAPC2012X95N,183.050000,-116.165000,0.000000,top
C3,CC0402_27PF_50V_5%_C0G,CAPC1005X55N,141.930000,-99.200000,90.000000,top
C4,CC0402_27PF_50V_5%_C0G,CAPC1005X55N,147.130000,-98.825000,-90.000000,top
C6,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,150.000000,-105.500000,180.000000,top
C7,CC0402_10UF_6.3V_20%_X5R,CAPC1005X70N,142.000000,-110.900000,90.000000,top
C9,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,143.000000,-110.900000,90.000000,top
C10,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,142.000000,-102.100000,-90.000000,top
C12,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,148.800000,-109.300000,90.000000,top
C13,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,144.000000,-102.100000,-90.000000,top
C16,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,137.400000,-95.300000,180.000000,top
C17,CC0402_10UF_6.3V_20%_X5R,CAPC1005X70N,150.700000,-100.000000,180.000000,top
C18,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,150.700000,-98.900000,180.000000,top
C19,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,141.800000,-58.000000,-90.000000,top
C20,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,140.300000,-58.600000,-90.000000,top
C21,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,148.400000,-55.400000,180.000000,top
C22,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,142.600000,-55.400000,0.000000,top
C23,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,149.500000,-58.100000,-90.000000,top
C24,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,151.000000,-58.800000,-90.000000,top
C25,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,141.900000,-96.800000,0.000000,top
C26,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,147.700000,-96.800000,180.000000,top
C27,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,148.600000,-94.200000,90.000000,top
C28,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,140.900000,-94.100000,90.000000,top
C29,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,150.200000,-93.600000,90.000000,top
C30,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,139.400000,-93.350000,90.000000,top
C64,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,199.800000,-127.100000,90.000000,top
C65,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,191.800000,-129.500000,-90.000000,top
C73,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,132.100000,-111.400000,90.000000,top
C74,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,131.600000,-123.700000,180.000000,top
C75,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,126.000000,-123.700000,180.000000,top
C76,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,128.100000,-111.400000,-90.000000,top
C77,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,134.300000,-117.100000,180.000000,top
C78,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,123.100000,-111.600000,-90.000000,top
C79,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,134.300000,-119.600000,180.000000,top
C80,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,121.300000,-120.100000,0.000000,top
C81,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,112.600000,-110.800000,0.000000,top
C82,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,121.700000,-111.100000,-90.000000,top
C83,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,119.700000,-113.200000,0.000000,top
C84,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,131.100000,-111.400000,90.000000,top
C85,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,120.600000,-115.100000,-90.000000,top
C86,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,121.600000,-115.100000,-90.000000,top
C87,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,120.700000,-118.700000,90.000000,top
C88,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,121.700000,-118.700000,90.000000,top
C111,CC0805_100UF_6.3V_20%_X5R,CAPC2012X145N,174.600000,-95.800000,0.000000,top
C170,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,127.400000,-128.400000,90.000000,top
C171,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,129.400000,-128.400000,90.000000,top
C172,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,143.100000,-128.250000,90.000000,top
C173,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,145.050000,-128.250000,90.000000,top
C174,CC0805_10UF_25V_10%_X5R,CAPC2012X95N,148.750000,-119.562500,0.000000,top
C175,CC0805_10UF_25V_10%_X5R,CAPC2012X95N,148.000000,-131.500000,0.000000,top
C176,CC0805_10UF_25V_10%_X5R,CAPC2012X95N,132.300000,-131.600000,0.000000,top
C177,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,145.800000,-116.400000,90.000000,top
C180,CC0805_10UF_25V_10%_X5R,CAPC2012X95N,179.600000,-134.500000,-90.000000,top
C181,CC0805_22UF_16V_10%_X5R,CAPC2012X135N,182.800000,-131.425000,0.000000,top
C182,CC0402_1UF_16V_10%_X5R,CAPC1005X55N,155.600000,-113.315000,-90.000000,top
C183,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,156.600000,-113.315000,-90.000000,top
C184,CC0402_1UF_16V_10%_X5R,CAPC1005X55N,162.000000,-113.215000,-90.000000,top
C185,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,169.230000,-120.185000,180.000000,top
C187,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,171.830000,-120.185000,0.000000,top
C188,CC0201_100NF_6.3V_10%_X5R,CAPC1005X55N,166.250000,-111.500000,0.000000,top
C189,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,172.430000,-114.335000,90.000000,top
C190,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,177.330000,-114.335000,90.000000,top
C191,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,169.430000,-124.385000,-90.000000,top
C192,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,163.300000,-130.500000,0.000000,top
C193,CC0402_2.2NF_50V_10%_X7R,CAPC1005X55N,163.400000,-120.800000,180.000000,top
C194,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,172.430000,-118.135000,-90.000000,top
C195,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,159.950000,-130.525000,180.000000,top
C196,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,167.730000,-116.685000,90.000000,top
C197,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,181.450000,-118.300000,0.000000,top
C198,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,172.000000,-77.800000,90.000000,top
C199,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,165.700000,-129.700000,-90.000000,top
C200,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,167.400000,-129.700000,-90.000000,top
C201,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,165.200000,-121.900000,90.000000,top
C202,CC0402_100NF_50V_10%_X7R,CAPC1005X55N,158.900000,-126.100000,-90.000000,top
C203,CC0603_22UF_6.3V_20%_X5R,CAPC1709X100N,164.200000,-124.500000,0.000000,top
